,path,functions,complexity,comment_lines_density,duplicated_lines_density,coverage,ncloc,security_rating,tests,test_success_density,test_execution_time,reliability_rating,filename,repository,version
779,src/pages/SignUpLanguage/index.js,9,11,0.0,0.0,,106,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
780,src/pages/SignUpLanguage/ServicesLanguage/index.js,5,10,7.3,0.0,,51,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
781,src/helpers/index.js,0,0,0.0,0.0,,2,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
782,src/components/index.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
783,src/components/Card/index.js,1,1,0.0,0.0,,9,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
784,src/hooks/index.js,0,0,0.0,0.0,,2,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
785,src/config/index.js,0,0,0.0,0.0,,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
786,src/services/index.js,0,0,0.0,0.0,,3,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
787,src/services/contentServices/index.js,0,0,0.0,0.0,,6,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
788,src/routes/index.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
789,src/context/index.js,0,0,0.0,0.0,,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
790,src/utils/index.js,0,0,0.0,0.0,,2,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
791,src/config/interceptors-request.js,4,7,0.0,0.0,,36,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
792,src/config/interceptors-response.js,4,6,0.0,0.0,,21,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
793,src/context/languageContext.js,4,4,0.0,0.0,,19,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
794,src/services/offlineStorageService.js,3,4,0.0,0.0,,13,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
795,src/routes/routes-protected.js,1,2,0.0,0.0,,9,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
796,src/routes/routes.js,1,1,0.0,0.0,,15,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
797,src/utils/storage-keys.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
798,src/context/trunkContext.js,4,4,0.0,0.0,,19,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
799,src/hooks/usePersistentState.js,4,6,0.0,0.0,,23,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
800,src/hooks/useUpdateEffect.js,2,3,0.0,0.0,,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
801,src/App.js,4,5,0.0,0.0,,31,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
802,src/config/auth-api.js,0,0,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
803,src/helpers/auth-helper.js,1,1,0.0,0.0,,6,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
804,src/context/authContext.js,4,4,4.3,0.0,,22,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
805,src/services/authService.js,4,4,0.0,0.0,,18,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
806,src/config/content-api.js,0,0,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
807,src/services/contentServices/contentDialetoService.js,1,1,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
808,src/services/contentServices/contentEthnicityService.js,2,2,0.0,0.0,,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
809,src/services/contentServices/contentIdiomaService.js,1,1,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
810,src/services/contentServices/contentLanguageService.js,3,3,0.0,0.0,,15,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
811,src/services/contentServices/contentLocationService.js,1,1,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
812,src/services/contentServices/contentTrunkService.js,2,2,0.0,0.0,,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
813,src/services/contentServices/contentWordsService.js,2,2,0.0,0.0,,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
814,src/helpers/context-provider.js,1,2,0.0,0.0,,16,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
815,src/pages/Word/styles/customStylesSelect.js,3,3,0.0,0.0,,15,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
816,src/pages/SignUpLanguage/styles/customStylesSelect.js,3,3,0.0,0.0,,15,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
817,src/context/ethnicityContext.js,4,4,0.0,0.0,,19,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
818,src/pages/SignUpLanguage/ethnicityLanguage.js,4,5,0.0,0.0,,59,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
819,src/config/files-api.js,0,0,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
820,src/utils/fuseSearch.js,2,3,0.0,0.0,,13,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
821,src/services/fileServices/imageService.js,1,1,0.0,0.0,,6,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
822,src/index.js,0,0,0.0,0.0,,19,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
823,src/pages/index.js,0,0,0.0,0.0,,6,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
824,src/pages/Login/index.js,4,6,0.0,0.0,,62,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
825,src/pages/Home/index.js,4,4,0.0,0.0,,28,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
826,src/pages/Word/index.js,11,19,0.0,0.0,,110,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
827,src/pages/Word/ServiceWord/index.js,1,2,0.0,0.0,,8,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
828,src/pages/AddImage/index.js,5,8,0.0,0.0,,76,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
829,src/pages/SignUpLanguage/index.js,9,11,0.0,0.0,,109,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
830,src/pages/SignUpLanguage/ServicesLanguage/index.js,5,10,7.3,0.0,,51,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
831,src/helpers/index.js,0,0,0.0,0.0,,2,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
832,src/components/index.js,0,0,0.0,0.0,,3,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
833,src/components/Card/index.js,1,1,0.0,0.0,,9,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
834,src/components/NavBar/index.js,8,14,0.0,0.0,,33,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
835,src/components/FeedbackRegistration/index.js,3,7,0.0,0.0,,20,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
836,src/hooks/index.js,0,0,0.0,0.0,,2,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
837,src/config/index.js,0,0,0.0,0.0,,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
838,src/services/index.js,0,0,0.0,0.0,,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
839,src/services/fileServices/index.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
840,src/services/contentServices/index.js,0,0,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
